      10
    -0.74982    -0.55492    -0.26831    -0.70489     0.52258     0.92891     0.22761    -0.34004     0.75930    -0.18726
 
    -0.69745    -0.82230     0.89772     0.08127    -0.91479     0.09995     0.47018    -0.03091    -0.06901    -0.98549
    -0.58764     0.14297    -0.76998     0.20914    -0.65973     0.39600    -0.51194     0.32937    -0.91729    -0.65270
     0.50299    -0.21324     0.64983     0.12696     0.50619     0.38519    -0.36190     0.65688     0.06510     0.56082
     0.17067     0.58526     0.90487     0.82506     0.56727     0.58876     0.14412    -0.98118    -0.69416     0.02011
    -0.40881     0.20290     0.11984     0.69425     0.00835     0.82289    -0.37997     0.58696     0.96516    -0.87272
    -0.55557    -0.10287     0.22758    -0.39297     0.83489    -0.88758    -0.52796     0.60384    -0.12730     0.96763
    -0.89787     0.68322    -0.52039     0.10452    -0.79060     0.89818     0.06959    -0.64246     0.04281     0.67042
    -0.11979    -0.36472     0.41455     0.95572    -0.59372     0.47017    -0.27596     0.90723    -0.93159    -0.90106
     0.14508     0.96358    -0.87831    -0.86274     0.62326    -0.76172     0.95837    -0.38542    -0.54835     0.63309
     0.72396     0.23809     0.96664     0.50911    -0.62429     0.83198     0.33306    -0.92702     0.03403     0.66115
